Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","CGA3E3X8R1H683K080AE-ND","CGA3E3X8R1H683K080AE","TDK Corporation","TDK Corporation","CAP CER 0.068UF 50V X8R 0603","0","0.05291","0","4000","Tape & Reel (TR)","CGA","Not For New Designs","0.068 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","CGA4J3X8R2A683K125AE-ND","CGA4J3X8R2A683K125AE","TDK Corporation","TDK Corporation","CAP CER 0.068UF 100V X8R 0805","0","0.1089","0","2000","Tape & Reel (TR)","CGA","Active","0.068 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","445-173843-2-ND,445-173843-1-ND,445-173843-6-ND","CGA2B3X8R1C473K050BE","TDK Corporation","TDK Corporation","CAP CER 0.047UF 16V X8R 0402","4,620","0.25","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.047 µF","±10%","16V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173774-2-ND,445-173774-1-ND,445-173774-6-ND","CGA3E2X8R1H473K080AE","TDK Corporation","TDK Corporation","CAP CER 0.047UF 50V X8R 0603","3,137","0.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.047 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-173816-2-ND,445-173816-1-ND,445-173816-6-ND","CGA4J3X8R2A473K125AE","TDK Corporation","TDK Corporation","CAP CER 0.047UF 100V X8R 0805","0","0.0864","0","2000","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.047 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173845-2-ND,445-173845-1-ND,445-173845-6-ND","CGA3E2X8R1H333K080AE","TDK Corporation","TDK Corporation","CAP CER 0.033UF 50V X8R 0603","3,948","0.29","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Not For New Designs","0.033 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","CGA2B3X8R1C333K050BE-ND","CGA2B3X8R1C333K050BE","TDK Corporation","TDK Corporation","CAP CER 0.033UF 16V X8R 0402","0","0.04389","0","10000","Tape & Reel (TR)","CGA","Not For New Designs","0.033 µF","±10%","16V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","CGA4J3X8R2A333K125AE-ND","CGA4J3X8R2A333K125AE","TDK Corporation","TDK Corporation","CAP CER 0.033UF 100V X8R 0805","0","0.09504","0","2000","Tape & Reel (TR)","CGA","Not For New Designs","0.033 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173783-2-ND,445-173783-1-ND,445-173783-6-ND","CGA3E2X8R1H223K080AE","TDK Corporation","TDK Corporation","CAP CER 0.022UF 50V X8R 0603","4,370","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.022 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0402-(1005-Metric).jpg","CGA2B3X8R1E223K050BE-ND","CGA2B3X8R1E223K050BE","TDK Corporation","TDK Corporation","CAP CER 0.022UF 25V X8R 0402","0","0.04389","0","10000","Tape & Reel (TR)","CGA","Active","0.022 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.024"" (0.60mm)","-","-"
