Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT6.8XTR-ND,PT6.8XCT-ND,PT6.8XDKR-ND","ERJ-1TYJ6R8U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 6.8 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","6.8 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT7.5XTR-ND,PT7.5XCT-ND,PT7.5XDKR-ND","ERJ-1TYJ7R5U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 7.5 OHM 5% 1W 2512","386","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","7.5 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT8.2XTR-ND,PT8.2XCT-ND,PT8.2XDKR-ND","ERJ-1TYJ8R2U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 8.2 OHM 5% 1W 2512","1,198","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","8.2 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERJ-xG,14,12(Z),1T_Rev_Apr_2015.pdf","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT9.1XTR-ND,PT9.1XCT-ND,PT9.1XDKR-ND","ERJ-1TYJ9R1U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 9.1 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","9.1 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERJ-xG,14,12(Z),1T_Rev_Apr_2015.pdf","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT10XTR-ND,PT10XCT-ND,PT10XDKR-ND","ERJ-1TYJ100U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 10 OHM 5% 1W 2512","73,196","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","10 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT11XTR-ND,PT11XCT-ND,PT11XDKR-ND","ERJ-1TYJ110U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 11 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","11 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT12XTR-ND,PT12XCT-ND,PT12XDKR-ND","ERJ-1TYJ120U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 12 OHM 5% 1W 2512","4,009","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","12 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT13XTR-ND,PT13XCT-ND,PT13XDKR-ND","ERJ-1TYJ130U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 13 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","13 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT15XTR-ND,PT15XCT-ND,PT15XDKR-ND","ERJ-1TYJ150U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 15 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","15 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Renders/Panasonic%20Renders/ERJ-2512%20Pkg.jpg","PT16XTR-ND,PT16XCT-ND,PT16XDKR-ND","ERJ-1TYJ160U","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 16 OHM 5% 1W 2512","0","0.72","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-1T","Active","16 Ohms","±5%","1W","Thick Film","Automotive AEC-Q200","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","AEC-Q200","2512","0.252"" L x 0.126"" W (6.40mm x 3.20mm)","0.028"" (0.70mm)","2","-"
